"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"11 Rogaland";"Kvinner";"0 år";2934
"11 Rogaland";"Kvinner";"1 år";2991
"11 Rogaland";"Kvinner";"2 år";3020
"11 Rogaland";"Kvinner";"3 år";3071
"11 Rogaland";"Kvinner";"4 år";3107
"11 Rogaland";"Kvinner";"5 år";3235
"11 Rogaland";"Kvinner";"6 år";3216
"11 Rogaland";"Kvinner";"7 år";3248
"11 Rogaland";"Kvinner";"8 år";3284
"11 Rogaland";"Kvinner";"9 år";3197
"11 Rogaland";"Kvinner";"10 år";3102
"11 Rogaland";"Kvinner";"11 år";3143
"11 Rogaland";"Kvinner";"12 år";2961
"11 Rogaland";"Kvinner";"13 år";2919
"11 Rogaland";"Kvinner";"14 år";2995
"11 Rogaland";"Kvinner";"15 år";2891
"11 Rogaland";"Kvinner";"16 år";2919
"11 Rogaland";"Kvinner";"17 år";3001
"11 Rogaland";"Kvinner";"18 år";3067
"12 Hordaland";"Menn";"0 år";3095
"12 Hordaland";"Menn";"1 år";3257
"12 Hordaland";"Menn";"2 år";3370
"12 Hordaland";"Menn";"3 år";3242
"12 Hordaland";"Menn";"4 år";3239
"12 Hordaland";"Menn";"5 år";3283
"12 Hordaland";"Menn";"6 år";3295
"12 Hordaland";"Menn";"7 år";3444
"12 Hordaland";"Menn";"8 år";3416
"12 Hordaland";"Menn";"9 år";3409
"12 Hordaland";"Menn";"10 år";3207
"12 Hordaland";"Menn";"11 år";3214
"12 Hordaland";"Menn";"12 år";3166
"12 Hordaland";"Menn";"13 år";3205
"12 Hordaland";"Menn";"14 år";3154
"12 Hordaland";"Menn";"15 år";3184
"12 Hordaland";"Menn";"16 år";3185
"12 Hordaland";"Menn";"17 år";3370
"12 Hordaland";"Menn";"18 år";3290
"12 Hordaland";"Kvinner";"0 år";2894
"12 Hordaland";"Kvinner";"1 år";3187
"12 Hordaland";"Kvinner";"2 år";3090
"12 Hordaland";"Kvinner";"3 år";3038
"12 Hordaland";"Kvinner";"4 år";2987
"12 Hordaland";"Kvinner";"5 år";3138
"12 Hordaland";"Kvinner";"6 år";3201
"12 Hordaland";"Kvinner";"7 år";3178
"12 Hordaland";"Kvinner";"8 år";3279
"12 Hordaland";"Kvinner";"9 år";3199
"12 Hordaland";"Kvinner";"10 år";3130
"12 Hordaland";"Kvinner";"11 år";3132
"12 Hordaland";"Kvinner";"12 år";3061
"12 Hordaland";"Kvinner";"13 år";3108
"12 Hordaland";"Kvinner";"14 år";3022
"12 Hordaland";"Kvinner";"15 år";2985
"12 Hordaland";"Kvinner";"16 år";3102
"12 Hordaland";"Kvinner";"17 år";3318
"12 Hordaland";"Kvinner";"18 år";3217
"13 Bergen (t.o.m. 1971)";"Menn";"0 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"1 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"2 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"3 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"4 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"5 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"6 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"7 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"8 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"9 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"10 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"11 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"12 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"13 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"14 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"15 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"16 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"17 år";0
"13 Bergen (t.o.m. 1971)";"Menn";"18 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"0 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"1 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"2 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"3 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"4 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"5 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"6 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"7 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"8 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"9 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"10 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"11 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"12 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"13 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"14 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"15 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"16 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"17 år";0
"13 Bergen (t.o.m. 1971)";"Kvinner";"18 år";0
"14 Sogn og Fjordane";"Menn";"0 år";585
"14 Sogn og Fjordane";"Menn";"1 år";623
"14 Sogn og Fjordane";"Menn";"2 år";605
"14 Sogn og Fjordane";"Menn";"3 år";623
